OBJECTID,Latitude,Longitude,Name,Address,City,Zip Code,x,y
47,33.91976263,-118.4113022,CITY OF EL SEGUNDO RECREATION AND PARKS DEPARTMENT - JOSLYN CENTER,339 SHELDON ST,EL SEGUNDO,90245,6436884.98503356,1793435.55841872
48,33.93823778,-118.3043005,FIRST NEW CHRISTIAN MISSIONARY BAPTIST CHURCH - FOOD BANK PROGRAM,1555 W 108TH ST,LOS ANGELES,90047,6469368.56967255,1800043.49402173
49,33.969843,-118.256446,SALVATION ARMY CORPS COMMUNITY CENTER - SOUTH CENTRAL LOS ANGELES,7651 S CENTRAL AVE,LOS ANGELES,90001,6483913.31814206,1811504.79458989
50,34.03130988,-118.2089122,YMCA OF METROPOLITAN LOS ANGELES - WEINGART EAST LOS ANGELES YMCA,2900 WHITTIER BLVD,LOS ANGELES,90023,6498372.51560156,1833840.44250381
51,34.19184835,-118.4530815,ST. ELISABETH CATHOLIC CHURCH - SERVICE CENTER DISTRIBUTION SITE,6640 CEDROS AVE,VAN NUYS,91405,6424655.92156522,1892506.41309814
52,34.21094437,-118.4574787,RESCUE MISSION ALLIANCE - VALLEY FOOD BANK - ROCK OF THE VALLEY,7722 KESTER AVE,VAN NUYS,91405,6423357.82048689,1899461.75056539
53,34.23565915,-118.4919298,RESCUE MISSION ALLIANCE - VALLEY FOOD BANK - VALLEY PARK CHURCH,16514 NORDHOFF ST,NORTH HILLS,91343,6412986.09155847,1908504.98772822
54,34.0369302,-118.1857992,SALVATION ARMY CORPS COMMUNITY CENTER - EAST LOS ANGELES TEMPLE,140 N EASTMAN AVE,LOS ANGELES,90063,6505379.24305789,1835872.03555347
55,34.0432708,-118.459205,YMCA OF METROPOLITAN LOS ANGELES - COLLINS AND KATZ FAMILY YMCA,1466 S WESTGATE AVE,SANTA MONICA,90025,6422557.1406578,1838445.24038081
56,34.19736453,-118.600659,CATHOLIC CHARITIES OF LOS ANGELES - GUADALUPE COMMUNITY CENTER,21600 HART ST,CANOGA PARK,91303,6380040.10790989,1894747.7363714
57,34.225119,-118.571012,OUR REDEEMER LUTHERAN CHURCH - HUMAN CARE MINISTRY FOOD PANTRY,8520 WINNETKA AVE,WINNETKA,91306,6389062.19222789,1904795.67788965
58,34.05851909,-118.1233158,SHEPHERD OF THE HILLS UNITED METHODIST CHURCH OF MONTEREY PARK,333 S GARFIELD AVE,MONTEREY PARK,91754,6524319.30327481,1843699.5412239
59,34.06900651,-118.308285,YMCA OF METROPOLITAN LOS ANGELES - ANDERSON MUNGER FAMILY YMCA,4301 W 3RD ST,LOS ANGELES,90020,6468305.93104981,1847636.37521373
60,33.79034288,-118.2616482,BUDDHIST TZU CHI FOUNDATION - MOBILE FOOD PANTRY - WILMINGTON,1355 BROAD AVE,WILMINGTON,90744,6482165.92432714,1746184.63651656
61,34.13145224,-118.2613946,CATHOLIC CHARITIES OF LOS ANGELES - GLENDALE COMMUNITY CENTER,4322 SAN FERNANDO RD,GLENDALE,91204,6482565.79557464,1870321.2297783
62,33.78164788,-118.2626104,L A CARE HEALTH PLAN - COMMUNITY RESOURCE CENTER - WILMINGTON,911 N AVALON BLVD,WILMINGTON,90744,6481865.28385231,1743021.05590148
63,34.2733214,-118.3402136,RESCUE MISSION ALLIANCE - VALLEY FOOD BANK - MAKING IT HAPPEN,9666 FOOTHILL PL,LAKEVIEW TERRACE,91342,6458888.01550247,1922021.07683773
64,33.93087252,-118.325457,L A CARE HEALTH PLAN - COMMUNITY RESOURCE CENTER - INGLEWOOD,2864 W IMPERIAL HWY,INGLEWOOD,90303,6462942.62944047,1797383.22834489
65,34.6614274,-118.1828906,RESCUE MISSION ALLIANCE - VALLEY FOOD BANK - AV DREAM CENTER,2851 WEST AVE L #330,LANCASTER,93536,6506673.95503539,2063137.63777989
66,34.07421351,-118.0415124,L A CARE HEALTH PLAN - COMMUNITY RESOURCE CENTER - EL MONTE,3570 SANTA ANITA AVE,EL MONTE,91731,6549099.03750789,1849390.72800423
67,34.579794,-118.091721,L A CARE HEALTH PLAN - COMMUNITY RESOURCE CENTER - PALMDALE,2072 E PALMDALE BLVD,PALMDALE,93350,6534062.12105948,2033391.57227214
68,34.04821371,-118.3090811,L A CARE HEALTH PLAN - COMMUNITY RESOURCE CETNER - METRO LA,1233 S WESTERN AVE,LOS ANGELES,90006,6468041.56510872,1840070.24926989
69,34.00213597,-118.4054161,YMCA OF METROPOLITAN LOS ANGELES - CULVER-PALMS FAMILY YMCA,4500 SEPULVEDA BLVD,CULVER CITY,90230,6438791.6711808,1823405.49224514
70,34.02034712,-118.1204954,YMCA OF METROPOLITAN LOS ANGELES - MONTEBELLO COMMERCE YMCA,2000 W BEVERLY BLVD,MONTEBELLO,90640,6525156.92036597,1829806.98403531
71,34.27807359,-118.56434,YMCA OF METROPOLITAN LOS ANGELES - NORTH VALLEY FAMILY YMCA,11336 CORBIN AVE,PORTER RANCH,91326,6391187.20799097,1924055.12132606
72,33.95871722,-118.0849888,CITY OF SANTA FE SPRINGS - GUS VELASCO NEIGHBORHOOD CENTER,9255 PIONEER BLVD,SANTA FE SPRINGS,90670,6535897.43300563,1807367.59387481
73,33.93019263,-118.2130519,L A CARE HEALTH PLAN - COMMUNITY RESOURCE CENTER - LYNWOOD,3200 E IMPERIAL HWY,LYNWOOD,90262,6497040.24431597,1797044.46458673
74,34.26646562,-118.4225315,L A CARE HEALTH PLAN - COMMUNITY RESOURCE CENTER - PACOIMA,10807 SAN FERNANDO RD,PACOIMA,91331,6434008.50390989,1919620.51044464
75,34.16418,-118.3789705,YMCA OF METROPOLITAN LOS ANGELES - EAST VALLEY FAMILY YMCA,5142 TUJUNGA AVE,NORTH HOLLYWOOD,91601,6447029.43095197,1882344.71327722
76,34.19381599,-118.5433649,YMCA OF METROPOLITAN LOS ANGELES - WEST VALLEY FAMILY YMCA,18810 VANOWEN ST,RESEDA,91335,6397357.82261822,1893357.78737964
77,34.0823246,-118.0317367,CATHOLIC CHARITIES OF LOS ANGELES - SAN JUAN DIEGO CENTER,4171 TYLER AVE,EL MONTE,91731,6552060.3698398,1852341.4294519
78,33.9430586,-118.3618553,CATHOLIC CHARITIES OF LOS ANGELES - ST. MARGARET'S CENTER,10217 INGLEWOOD AVE,LENNOX,90304,6451917.17708197,1801855.73350748
79,34.0892311,-118.0289482,EL MONTE - SOUTH EL MONTE EMERGENCY RESOURCES ASSOCIATION,10900 MULHALL ST,EL MONTE,91731,6552905.46034122,1854854.58026548
80,34.06208256,-117.7609624,L A CARE HEALTH PLAN - COMMUNITY RESOURCE CENTER - POMONA,696 W HOLT AVE,POMONA,91768,6634069.15464081,1845059.5365354
81,34.196292,-118.445486,YMCA OF METROPOLITAN LOS ANGELES - MID VALLEY FAMILY YMCA,6901 LENNOX AVE,VAN NUYS,91405,6426959.99569722,1894113.25535689
82,33.99319391,-118.417921,ALLIES FOR EVERY CHILD - EARLY CARE AND EDUCATION CENTER,12120 WAGNER ST,CULVER CITY,90230,6434988.01868314,1820166.84321064
83,34.203393,-118.4487795,CATHOLIC CHARITIES OF LOS ANGELES - LOAVES AND FISHES II,7309 VAN NUYS BLVD,VAN NUYS,91405,6425975.61938514,1896701.84171514
84,34.04549368,-118.5275432,YMCA OF METROPOLITAN LOS ANGELES - PALISADES MALIBU YMCA,821 VIA DE LA PAZ,PACIFIC PALISADES,90272,6401858.94517763,1839355.7940059
85,33.99827988,-118.4774441,CATHOLIC CHARITIES OF LOS ANGELES - ST. ROBERT'S CENTER,211 3RD AVE,VENICE,90291,6416953.99405572,1822098.07031931
86,33.74268096,-118.2989279,SALVATION ARMY CORPS FAMILY SERVICE CENTER - SAN PEDRO,138 S BANDINI ST,SAN PEDRO,90731,6470786.56224339,1728870.7472599
87,33.9565009,-118.2629286,WEST WASHINGTON L A FOURSQUARE CHURCH - AVALON GARDENS,701 E 88TH PL,LOS ANGELES,90002,6481935.03207238,1806654.41288647
88,34.00368651,-118.3296555,CHRIST THE GOOD SHEPHERD EPISCOPAL CHURCH FOOD CLOSET,3303 W VERNON AVE,LOS ANGELES,90008,6461755.91790314,1823885.80198006
89,34.0645555,-117.752274,INLAND VALLEY HOPE PARTNERS - BETA FOOD SECURITY SITE,209 W PEARL ST,POMONA,91768,6636698.44137697,1845965.85591698
90,34.5726515,-118.0963665,PALMDALE 7TH DAY ADVENTIST CHURCH COMMUNITY SERVICES,1758 E AVENUE R,PALMDALE,93550,6532661.32432039,2030793.54433173
91,34.03261551,-118.331415,BEREAN 7TH DAY ADVENTIST CHURCH COMMUNITY SERVICES,4211 W ADAMS BLVD,LOS ANGELES,90018,6461257.34836222,1834415.34325689
92,33.78568524,-118.2629213,YMCA OF METROPOLITAN LOS ANGELES - WILMINGTON YMCA,1127 N AVALON BLVD,WILMINGTON,90744,6481774.64722255,1744490.60644007
93,34.10169256,-118.3194439,SALVATION ARMY CORPS COMMUNITY CENTER - HOLLYWOOD,5941 HOLLYWOOD BLVD,LOS ANGELES,90028,6464964.2605678,1859541.93998523
94,34.061086,-118.2933151,CHILDREN'S HOSPITAL LOS ANGELES - PROJECT NATEEN,3250 WILSHIRE BLVD STE 300,LOS ANGELES,90010,6472831.15592322,1844740.39478523
95,34.13662287,-118.2588018,SALVATION ARMY CORPS COMMUNITY CENTER - GLENDALE,320 W WINDSOR RD,GLENDALE,91204,6483355.28448123,1872200.88054655
96,34.12110842,-118.1725545,SYCAMORES - HIGHLAND PARK FAMILY RESOURCE CENTER,840 N AVE 66,LOS ANGELES,90042,6509444.53840497,1866498.89555947
97,33.77381261,-118.1837179,HELP ME HELP YOU - STEVENSON ELEMENTARY SCHOOL,515 LIME AVE,LONG BEACH,90802,6505834.79956147,1740116.3566584
98,34.09966181,-117.729009,INLAND VALLEY HOPE PARTNERS - CLAREMONT CENTER,660 N MOUNTAIN AVE,CLAREMONT,91711,6643710.18785214,1858759.8434523
99,34.1096367,-117.8065682,INLAND VALLEY HOPE PARTNERS - SAN DIMAS CENTER,110 E 3RD ST,SAN DIMAS,91773,6620222.95661147,1862335.64076264
100,33.79768432,-118.289626,SALVATION ARMY - STILLMAN SAWYER FAMILY CENTER,820 LOMITA BLVD,HARBOR CITY,90710,6473672.30975272,1748879.69018157
101,33.8837367,-118.3065233,CITY OF GARDENA RECREATION AND HUMAN SERVICES,1670 W 162ND ST,GARDENA,90247,6468633.8595278,1780211.43657306
102,34.10180947,-118.28997,HOPE-NET - METROPOLITAN CONGREGATIONAL CHURCH,4607 PROSPECT AVE,LOS ANGELES,90027,6473887.06785339,1859557.43765764
103,34.19393945,-118.4917455,SOVA FOOD PANTRY AND RESOURCE CENTER - VALLEY,16439 VANOWEN ST,VAN NUYS,91406,6412967.52040139,1893322.34420906
104,34.05573348,-117.6363765,INLAND VALLEY HOPE PARTNERS - SOVA FOOD SITE,904 E CALIFORNIA ST,ONTARIO,91761,6671811.48532397,1842862.12032656
105,34.0983558,-118.1074443,SAN GABRIEL MISSION CHRISTIAN SERVICE CENTER,254 1/2 S SANTA ANITA,SAN GABRIEL,91776,6529142.10530896,1858191.35213523
106,34.09009366,-117.745332,SOWING SEEDS FOR LIFE - CHARISMA LIFE CHURCH,305 E ARROW HWY,POMONA,91767,6638777.39424005,1855264.90326373
107,34.6499501,-118.1502899,ANTELOPE VALLEY LIVING WATER WORSHIP CENTER,1111 WEST AVENUE L-12 STE A,LANCASTER,93535,6516470.94200306,2058944.47326598
108,34.07543787,-118.2126881,EPIPHANY EPISCOPAL CHURCH - LINCOLN HEIGHTS,2808 ALTURA ST,LOS ANGELES,90031,6497262.44531514,1849901.83918673
109,33.805269,-118.215351,HELP ME HELP YOU - PHILADELPHIAN SDA CHURCH,2640 SANTA FE AVE,LONG BEACH,90810,6496245.40601064,1751583.27040431
110,34.05493353,-118.3847618,SOVA FOOD PANTRY AND RESOURCE CENTER - WEST,8846 W PICO BLVD,LOS ANGELES,90035,6445125.3553638,1842594.82853831
111,33.8877753,-118.0793569,CITY OF NORWALK SOCIAL SERVICES DEPARTMENT,11929 ALONDRA BLVD,NORWALK,90650,6537584.92897446,1781548.83481689
112,34.03870924,-118.308943,JOY COMMUNITY OUTREACH TO END HOMELESSNESS,1938 S WESTERN AVE,LOS ANGELES,90018,6468072.7681303,1836611.27423248
113,34.04731021,-118.2743,SALVATION ARMY - LOS ANGELES CENTRAL CORPS,1532 W 11TH ST,LOS ANGELES,90015,6478576.74843463,1839710.87498865
114,34.14956961,-118.1304337,SALVATION ARMY - PASADENA TABERNACLE CORPS,960 E WALNUT ST,PASADENA,91106,6522206.36360306,1876837.22396414
115,34.02077895,-118.4011185,ST. AUGUSTINE VOLUNTEER EMERGENCY SERVICES,3850 JASMINE AVE,CULVER CITY,90232,6440121.30959764,1830184.77035323
116,34.0520029,-117.7583647,INLAND VALLEY HOPE PARTNERS - POMONA SITE,810 S WHITE ST,POMONA,91766,6634864.75278714,1841393.24498348
117,34.04048448,-118.3370457,FIRST PRESBYTERIAN CHURCH OF LOS ANGELES,1809 WEST BLVD,LOS ANGELES,90019,6459560.95214872,1837284.67314814
118,34.1865865,-118.5342345,ONEGENERATION - SENIOR ENRICHMENT CENTER,18255 VICTORY BLVD,RESEDA,91335,6400104.8292633,1890712.08269732
119,34.5755547,-118.1114924,SOUTH ANTELOPE VALLEY EMERGENCY SERVICES,1002 E AVENUE Q-12,PALMDALE,93550,6528109.17889714,2031854.79942706
120,34.105284,-117.8376675,SOWING SEEDS FOR LIFE - REAL LIFE CHURCH,5119 N VALLEY CENTER AVE,COVINA,91724,6610811.6361953,1860734.95400339
121,33.89270531,-118.2218843,TAMARIND AVENUE 7TH DAY ADVENTIST CHURCH,417 S TAMARIND AVE,COMPTON,90220,6494330.79205772,1783407.79632206
122,33.9431199,-118.1326419,DOWNEY FIRST CHRISTIAN CHURCH FOOD HELP,10900 LA REINA,DOWNEY,90241,6521439.11284097,1801707.03728256
123,34.06174015,-118.2945603,HOPE-NET - IMMANUEL PRESBYTERIAN CHURCH,3300 WILSHIRE BLVD,LOS ANGELES,90010,6472454.70884147,1844979.55441189
124,34.0686334,-118.3081845,HOPE-NET - WILSHIRE PRESBYTERIAN CHURCH,309 S OXFORD ST,LOS ANGELES,90020,6468335.95133097,1847500.50081356
125,34.01969544,-118.1332118,MEXICAN AMERICAN OPPORTUNITY FOUNDATION,401 N GARFIELD AVE,MONTEBELLO,90640,6521303.18857214,1829574.68758389
126,34.38024762,-118.5343621,CORPS COMMUNITY CENTER - SANTA CLARITA,22935 LYONS AVE,SANTA CLARITA,91321,6400440.90011346,1961188.16156115
127,34.11007018,-118.2705825,HOPE-NET - SILVERLAKE COMMUNITY CHURCH,2930 HYPERION AVE,LOS ANGELES,90027,6479764.36745048,1862547.28830522
128,34.1501904,-118.3868047,NORTH HOLLYWOOD INTERFAITH FOOD PANTRY,11634 MOORPARK ST,NORTH HOLLYWOOD,91604,6444639.95771256,1877262.70769323
129,34.08969888,-117.887889,PROJECT 29:11 - ECONOMIC RELIEF CENTER,418 N 2ND AVE,COVINA,91723,6595614.9185573,1855042.48441723
130,34.15044093,-118.366849,ST. CHARLES HOLY FAMILY SERVICE CENTER,10825 MOORPARK ST,NORTH HOLLYWOOD,91602,6450677.99550521,1877331.24495773
131,33.791652,-118.3146095,ST. MARGARET MARY'S CHRISTIAN SERVICES,25511 ESHELMAN AVE,LOMITA,90717,6466074.64187722,1746707.1879649
132,34.1907159,-118.1587284,ALTADENA SEVENTH-DAY ADVENTIST CHURCH,2609 N LINCOLN AVE,ALTADENA,91001,6513669.17923389,1891823.40068464
133,34.06171946,-118.31211,HOPE-NET - ST. JAMES EPISCOPAL CHURCH,3903 WILSHIRE BLVD,LOS ANGELES,90010,6467139.29558781,1844988.06522164
134,34.04130894,-118.3533889,WEST WASHINGTON L A FOURSQUARE CHURCH,5175 1/2 W WASHINGTON BLVD,LOS ANGELES,90016,6454610.78652413,1837601.71286839
135,34.1422118,-118.0157726,FOOTHILL UNITY CENTER INC - MONROVIA,790 W CHESTNUT AVE,MONROVIA,91106,6556897.7696138,1874134.35371372
136,34.14969335,-118.1076739,FOOTHILL UNITY CENTER INC - PASADENA,191 N OAK AVE,PASADENA,91107,6529092.60704839,1876874.09921847
137,34.0617628,-118.3047281,HOPE-NET - WILSHIRE BOULEVARD TEMPLE,3663 WILSHIRE BLVD,LOS ANGELES,90010,6469375.14675914,1844996.97727731
138,33.94184149,-118.343052,INGLEWOOD SOUTHSIDE CHRISTIAN CHURCH,3947 W 104TH ST,INGLEWOOD,90303,6457618.81134798,1801392.80562755
139,34.011225,-117.980568,ST. MARTIN DE PORRES OUTREACH CENTER,1345 TURNBULL CANYON RD,HACIENDA HEIGHTS,91745,6567559.42119072,1826465.94675414
140,34.686486,-118.147971,ANTELOPE VALLEY PARTNERS FOR HEALTH,44226 10TH ST WEST,LANCASTER,93534,6517187.91924363,2072239.92141256
141,33.8176497,-118.376841,ST. LAWRENCE MARTYR CATHOLIC CHURCH,1940 S PROSPECT AVE,REDONDO BEACH,90277,6447200.83284013,1756233.42777064
142,33.779628,-118.1923425,FIRST BAPTIST CHURCH OF LONG BEACH,1000 PINE AVE,LONG BEACH,90813,6503217.66371964,1742237.64178589
143,34.06352351,-118.3044105,KARSH FAMILY SOCIAL SERVICE CENTER,3750 W 6TH ST,LOS ANGELES,90020,6469473.28074922,1845637.43925098
144,34.2630847,-118.4195049,MEET EACH NEED WITH DIGNITY - MEND,10641 N SAN FERNANDO RD,PACOIMA,91331,6434917.80753747,1918386.31278181
